,smiles,logP,qed,SAS
0,C[C@@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@H]1CCC2=O,3.293400000000002,0.8279121640505417,3.6478335218192246
1,COc1ccc(Cc2nnc(NC(=O)c3ccc(Cl)c([N+](=O)[O-])c3)s2)cc1,3.951400000000003,0.4919488980664658,2.116669281676078
2,CCCCOC1(c2ccccc2)OC(=O)c2ccccc21,3.874800000000003,0.61652508379957,2.7910506005570763
3,CC1(CCC#N)N=C(SCCC#N)N(c2ccccc2)C1=O,3.0985600000000018,0.7823899478875027,3.583127172522988
4,Cc1ccc(-c2nnn(CC(=O)N(c3ccccc3)C(C(=O)NCC3CCCO3)c3ccc(Cl)cc3)n2)cc1,4.371620000000004,0.3355328881271715,3.2428673444871823
5,Cc1occc1C(=O)NCc1ccccc1,2.518020000000001,0.8543607186962147,1.6558832579570275
6,Cc1ccc(CS(=O)(=O)CCC(=O)NCc2ccccn2)cc1,2.01132,0.8413567404375313,2.0317355126188037
7,O=C(Cn1c(O)c(/C=C2\C=Nc3ccccc32)sc1=O)Nc1ccc2c(c1)OCO2,3.239300000000001,0.6734084355640019,2.8087933961334173
8,C=C[C@]1(C)C[C@H](OC(=O)CO)[C@@]2(C)[C@H](C)CC[C@@]3(CCC(=O)[C@H]32)[C@H](C)[C@H]1O,2.8852000000000015,0.5827082661209824,5.47158732759662
9,O.O=C(O)[C@@H](O)[C@@H](O)C(=O)O.O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,-0.5234999999999983,0.2205278766985004,3.353305811846675
10,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1,3.9696000000000033,0.7960973871712934,2.1793300823304893
11,COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1,-0.7936999999999972,0.3275037453254436,3.938746143561504
12,Cc1ccc(S(=O)(=O)N[C@H]2COC(=O)[C@@H](C)COC(=O)[C@H](C)NC(=O)C/C=C\[C@H]2C)cc1,1.4651200000000004,0.5098588075399064,4.601507100486122
13,Cc1ccc(C)c2sc(NC(=O)c3ccc(N4CCCCC4)c([N+](=O)[O-])c3)nc12,5.063940000000004,0.4794381141225053,2.282115202947116
14,O[C@@](CCN1CCCC1)(c1ccccc1)C1CCCCC1,3.940400000000003,0.8863958351409401,2.615207485396194
15,CCOC(=O)[C@H](N)/C=C(\C)CP(=O)(O)O,0.0008000000000001339,0.3524721129978803,3.8091847727192265
16,Cc1ccc(CSc2nc3c(c(SCC(=O)O)n2)CCCC3)cc1,4.132820000000002,0.4746131148752864,2.3781839745585795
17,CC(=O)NC1(C(F)(F)F)C(=O)N(Cc2ccccc2)C2=C1C(=O)CC(C)(C)C2,3.109200000000002,0.8568130088854006,3.191191846351253
18,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc([C@@H](O)CNC(C)(C)C)c1,2.2288999999999994,0.8292335988195221,3.087411519659037
19,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@@H](O)C[C@@]21C,2.466500000000001,0.6621165611785135,4.613021506292251
20,O=P(O)(CCc1ccccc1)C(O)c1ccccc1,3.1906000000000017,0.8244762035633018,2.7718835013414846
21,CCS(=O)(=O)Nc1ccc(C2=NN(C(=O)c3ccco3)C(c3ccc(C)cc3)C2)cc1,4.341120000000004,0.620860630944622,2.8518885927035758
22,CC(=O)N1C2C3N(C(C)=O)C1C1N(C(C)=O)C(C(N1C(C)=O)N3C(C)=O)N2C(C)=O,-1.911599999999994,0.45074160047617956,4.268981266654545
23,O=C(c1cccc(F)c1)N1CCC[C@@]2(CCN(Cc3ccncc3)C2)C1,3.349000000000002,0.8490528808005091,3.1480989916262647
24,Cc1ccc(C)c(N(CC(=O)NC2CCCC2)C(=O)c2cc3cc4cccc(C)c4nc3s2)c1,6.080360000000006,0.38362977261385106,2.6601525436522007
25,c1ccc(N2CCC3(CCNCC3)CC2)cc1,2.656600000000001,0.7976538003958399,2.601914449140004
26,C=C1C[C@@]23C[C@]1(O)CC[C@@H]2[C@]12C=C[C@@H](O)[C@](C)(C(=O)O1)[C@H]2[C@H]3C(=O)O,1.0271000000000001,0.48383259577822607,6.690015977753265
27,CC1(C)[C@@H]2CC[C@]1(C)[C@@H](OC(=O)CSC#N)C2,2.958680000000001,0.5729088175107007,4.667860012822887
